Date,Open,Max,Min,Close,Volume
2015-02-25,1.1165,1.1165,1.0497,1.0784,23469
2015-02-26,1.0784,1.107,1.0497,1.107,3916
2015-02-27,1.0975,1.0975,1.0879,1.0975,1902
2015-03-02,1.107,1.107,1.0497,1.107,11755
2015-03-03,1.107,1.107,1.0307,1.0307,14498
2015-03-04,1.0593,1.0593,1.0307,1.0593,2108
2015-03-05,1.0593,1.0593,1.0593,1.0593,613
2015-03-06,1.0593,1.0593,1.0307,1.0593,2472
2015-03-09,1.0593,1.0688,1.0593,1.0688,389
2015-03-10,1.0688,1.0688,1.002,1.0688,2229
2015-03-11,1.0688,1.0688,1.0688,1.0688,5032
2015-03-12,1.0688,1.0784,1.0688,1.0688,9988
2015-03-13,1.0784,1.0784,1.0688,1.0784,1897
2015-03-16,1.0688,1.0688,1.0688,1.0688,3145
2015-03-17,1.0688,1.0688,1.0593,1.0593,5239
2015-03-18,1.1356,1.2215,1.1261,1.212,144533
2015-03-19,1.2311,1.4315,1.2311,1.4315,274415
2015-03-20,1.4315,1.4983,1.3647,1.4219,52734
2015-03-23,1.4028,1.4887,1.4028,1.4792,127677
2015-03-24,1.4983,1.5746,1.4983,1.5555,153814
2015-03-25,1.5651,1.6605,1.5364,1.6032,254909
2015-03-26,1.5937,1.651,1.5937,1.651,71015
2015-03-27,1.6701,1.8323,1.6319,1.7273,89012
2015-03-30,1.8037,1.8609,1.7655,1.7655,73653
2015-03-31,1.8514,1.88,1.775,1.8227,14309
2015-04-01,1.8323,1.8418,1.6987,1.775,32847
2015-04-02,1.7655,1.7655,1.6987,1.7464,6024
2015-04-07,1.7082,1.7082,1.6605,1.6891,11948
2015-04-08,1.7082,1.7082,1.5651,1.6701,17636
2015-04-09,1.6701,1.775,1.6701,1.7082,16635
2015-04-10,1.775,1.775,1.6987,1.7655,1720
2015-04-13,1.775,1.775,1.7369,1.7655,6819
2015-04-14,1.7655,1.7655,1.6987,1.7464,5223
2015-04-15,1.7559,1.7655,1.7559,1.7655,2272
2015-04-16,1.7655,1.7655,1.6796,1.7464,3866
2015-04-17,1.7464,1.7464,1.6605,1.6605,5988
2015-04-20,1.7464,1.7559,1.6605,1.7178,3341
2015-04-21,1.7559,1.7559,1.6319,1.6319,7725
2015-04-22,1.6987,1.6987,1.5937,1.5937,4194
2015-04-23,1.6605,1.6605,1.6032,1.651,6078
2015-04-24,1.6605,1.6605,1.5078,1.6128,19458
2015-04-27,1.6605,1.6605,1.546,1.5937,4343
2015-04-28,1.6032,1.6319,1.5746,1.6223,10322
2015-04-29,1.651,1.6796,1.6223,1.6796,4437
2015-04-30,1.7369,1.7655,1.6987,1.7559,15737
2015-05-04,1.7559,1.7559,1.7369,1.7369,1183
2015-05-05,1.7273,1.7369,1.7178,1.7178,2910
2015-05-06,1.7178,1.8132,1.7082,1.7941,39858
2015-05-07,1.8037,1.8132,1.7559,1.7559,6110
2015-05-08,1.8037,1.88,1.7559,1.88,46892
2015-05-11,1.93,2.01,1.91,2,41321
2015-05-12,2.13,2.41,2.13,2.34,160830
2015-05-13,2.34,2.39,2.18,2.25,55957
2015-05-14,2.29,2.29,2.15,2.2,18625
2015-05-15,2.19,2.21,2.14,2.21,9048
2015-05-18,2.21,2.3,2.18,2.3,15379
2015-05-19,2.31,2.35,2.28,2.35,13760
2015-05-20,2.35,2.39,2.33,2.39,14211
2015-05-21,2.39,2.39,2.16,2.23,15531
2015-05-22,2.38,2.38,2.29,2.35,7799
2015-05-25,2.37,2.39,2.32,2.39,11283
2015-05-26,2.4,2.4,2.34,2.39,19889
2015-05-27,2.39,2.39,2.35,2.37,2027
2015-05-28,2.38,2.38,2.35,2.35,10170
2015-05-29,2.33,2.33,2.12,2.21,35472
2015-06-01,2.2,2.25,2.09,2.15,20075
2015-06-02,2.03,2.15,2.01,2.15,11826
2015-06-03,2.11,2.32,2.11,2.18,5494
2015-06-05,2.18,2.25,2.07,2.15,10027
2015-06-08,2.25,2.26,2.16,2.2,6265
2015-06-09,2.25,2.29,2.23,2.24,7065
2015-06-10,2.23,2.29,2.18,2.28,14741
2015-06-11,2.29,2.29,2.24,2.24,1052
2015-06-12,2.24,2.28,2.12,2.28,4777
2015-06-15,2.13,2.28,2.13,2.28,24
2015-06-16,2.27,2.27,2.2,2.2,2324
2015-06-17,2.28,2.28,2.16,2.2,1419
2015-06-18,2.16,2.22,2.14,2.22,3522
2015-06-19,2.22,2.28,2.22,2.28,7848
2015-06-22,2.14,2.27,2.14,2.18,2205
2015-06-23,2.28,2.28,2.24,2.24,103
2015-06-24,2.28,2.28,2.22,2.22,1315
2015-06-25,2.24,2.24,2.24,2.24,867
2015-06-26,2.24,2.24,2.19,2.24,1602
2015-06-29,2.18,2.22,2.12,2.22,2711
2015-06-30,2.13,2.15,2.12,2.14,6083
2015-07-01,2.14,2.24,2.14,2.24,2453
2015-07-02,2.25,2.28,2.17,2.28,4258
2015-07-03,2.28,2.28,2.26,2.26,60
2015-07-06,2.28,2.28,2.1,2.14,9004
2015-07-07,2.26,2.26,2.14,2.15,1666
2015-07-08,2.26,2.26,2.19,2.19,1005
2015-07-09,2.25,2.25,2.11,2.11,5408
2015-07-10,2.11,2.25,2.11,2.25,1191
2015-07-13,2.25,2.25,2.24,2.24,208
2015-07-14,2.24,2.24,2.15,2.24,214
2015-07-15,2.24,2.24,2.12,2.12,1742
2015-07-16,2.22,2.22,2.15,2.22,662
2015-07-17,2.18,2.18,2.1,2.16,14034
2015-07-20,2.16,2.16,1.98,2.15,6957
2015-07-21,2.15,2.22,2.15,2.22,858
2015-07-22,2.21,2.21,2.15,2.17,2683
2015-07-23,2.16,2.22,2.1,2.22,6576
2015-07-24,2.21,2.21,2.19,2.19,94
2015-07-27,2.12,2.16,2.08,2.15,4074
2015-07-28,2.15,2.15,2.06,2.06,2305
2015-07-29,2.06,2.06,2.03,2.06,11328
2015-07-30,2.05,2.05,2.03,2.05,3638
2015-07-31,2.06,2.06,1.94,1.99,15311
2015-08-03,1.94,1.98,1.91,1.91,12030
2015-08-04,1.91,2.07,1.86,1.97,6067
2015-08-05,2.06,2.2,2.06,2.2,6531
2015-08-06,2.19,2.25,2.13,2.13,9130
2015-08-07,2.2,2.22,2.13,2.13,1092
2015-08-10,2.2,2.23,2.15,2.2,3616
2015-08-11,2.21,2.23,2.16,2.19,1923
2015-08-12,2.22,2.22,2,2.09,29914
2015-08-13,2.09,2.13,2.03,2.13,8552
2015-08-14,2.13,2.22,2.13,2.22,9263
2015-08-17,2.22,2.22,2.19,2.19,1342
2015-08-18,2.21,2.21,2.17,2.21,1015
2015-08-19,2.2,2.2,2.15,2.2,5480
2015-08-20,2.19,2.19,2.15,2.17,886
2015-08-21,2.16,2.22,2.15,2.21,6554
2015-08-24,2.15,2.15,1.94,1.98,14956
2015-08-25,1.75,1.98,1.75,1.93,25576
2015-08-26,1.87,1.91,1.8,1.91,21625
2015-08-27,1.91,2,1.8,2,18139
2015-08-28,2,2,1.9,1.95,16687
2015-08-31,1.96,1.96,1.76,1.76,29677
2015-09-01,1.76,1.85,1.75,1.8,4950
2015-09-02,1.8,1.8,1.7,1.74,12826
2015-09-03,1.74,1.75,1.72,1.75,2088
2015-09-04,1.75,1.75,1.63,1.75,18943
2015-09-07,1.74,1.74,1.63,1.68,1756
2015-09-08,1.68,1.68,1.68,1.68,242
2015-09-09,1.68,1.75,1.63,1.72,2897
